"Label (Grouping)","North Carolina!!Occupied housing units!!Estimate","North Carolina!!Occupied housing units!!Margin of Error","North Carolina!!Percent occupied housing units!!Estimate","North Carolina!!Percent occupied housing units!!Margin of Error","North Carolina!!Owner-occupied housing units!!Estimate","North Carolina!!Owner-occupied housing units!!Margin of Error","North Carolina!!Percent owner-occupied housing units!!Estimate","North Carolina!!Percent owner-occupied housing units!!Margin of Error","North Carolina!!Renter-occupied housing units!!Estimate","North Carolina!!Renter-occupied housing units!!Margin of Error","North Carolina!!Percent renter-occupied housing units!!Estimate","North Carolina!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","4,299,266","±15,150","4,299,266","±15,150","2,868,467","±20,726","2,868,467","±20,726","1,430,799","±17,996","1,430,799","±17,996"
"    UNITS IN STRUCTURE","","","","","","","","","","","",""
"        1, detached","2,866,108","±19,862","66.7%","±0.4","2,402,079","±19,609","83.7%","±0.4","464,029","±10,716","32.4%","±0.6"
"        1, attached","203,737","±7,168","4.7%","±0.2","123,173","±5,547","4.3%","±0.2","80,564","±5,574","5.6%","±0.4"
"        2 apartments","81,079","±5,786","1.9%","±0.1","5,468","±1,340","0.2%","±0.1","75,611","±5,510","5.3%","±0.4"
"        3 or 4 apartments","116,589","±6,786","2.7%","±0.2","12,155","±1,956","0.4%","±0.1","104,434","±6,610","7.3%","±0.4"
"        5 to 9 apartments","153,510","±7,351","3.6%","±0.2","13,152","±2,125","0.5%","±0.1","140,358","±6,745","9.8%","±0.5"
"        10 or more apartments","428,054","±9,656","10.0%","±0.2","20,844","±2,962","0.7%","±0.1","407,210","±9,695","28.5%","±0.6"
"        Mobile home or other type of housing","450,189","±11,729","10.5%","±0.3","291,596","±9,423","10.2%","±0.3","158,593","±6,801","11.1%","±0.4"
"    YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"        2020 or later","123,787","±6,689","2.9%","±0.2","90,694","±5,458","3.2%","±0.2","33,093","±3,759","2.3%","±0.3"
"        2010 to 2019","657,306","±12,329","15.3%","±0.3","412,251","±8,226","14.4%","±0.3","245,055","±10,021","17.1%","±0.7"
"        2000 to 2009","833,821","±14,037","19.4%","±0.3","590,219","±11,982","20.6%","±0.4","243,602","±10,054","17.0%","±0.7"
"        1980 to 1999","1,288,698","±17,354","30.0%","±0.4","883,877","±13,147","30.8%","±0.4","404,821","±11,904","28.3%","±0.7"
"        1960 to 1979","833,522","±15,451","19.4%","±0.3","530,744","±11,760","18.5%","±0.4","302,778","±11,171","21.2%","±0.7"
"        1940 to 1959","374,491","±10,288","8.7%","±0.2","241,729","±8,186","8.4%","±0.3","132,762","±7,117","9.3%","±0.5"
"        1939 or earlier","187,641","±7,571","4.4%","±0.2","118,953","±5,381","4.1%","±0.2","68,688","±4,352","4.8%","±0.3"
"    ROOMS","","","","","","","","","","","",""
"        1 room","61,946","±5,421","1.4%","±0.1","6,568","±1,442","0.2%","±0.1","55,378","±5,384","3.9%","±0.4"
"        2 or 3 rooms","366,461","±11,557","8.5%","±0.3","57,864","±3,703","2.0%","±0.1","308,597","±10,736","21.6%","±0.7"
"        4 or 5 rooms","1,519,370","±17,956","35.3%","±0.4","806,958","±13,909","28.1%","±0.4","712,412","±14,746","49.8%","±0.9"
"        6 or 7 rooms","1,361,289","±17,856","31.7%","±0.4","1,094,794","±15,329","38.2%","±0.5","266,495","±10,041","18.6%","±0.6"
"        8 or more rooms","990,200","±16,107","23.0%","±0.4","902,283","±14,464","31.5%","±0.4","87,917","±5,810","6.1%","±0.4"
"    BEDROOMS","","","","","","","","","","","",""
"        No bedroom","66,396","±5,591","1.5%","±0.1","8,038","±1,581","0.3%","±0.1","58,358","±5,399","4.1%","±0.4"
"        1 bedroom","287,506","±8,342","6.7%","±0.2","32,338","±2,739","1.1%","±0.1","255,168","±8,796","17.8%","±0.6"
"        2 or 3 bedrooms","2,990,505","±20,349","69.6%","±0.4","1,976,191","±21,875","68.9%","±0.5","1,014,314","±16,918","70.9%","±0.8"
"        4 or more bedrooms","954,859","±14,818","22.2%","±0.3","851,900","±15,823","29.7%","±0.5","102,959","±6,457","7.2%","±0.5"
"    COMPLETE FACILITIES","","","","","","","","","","","",""
"        With complete plumbing facilities","4,285,487","±14,875","99.7%","±0.1","2,861,543","±20,638","99.8%","±0.1","1,423,944","±18,043","99.5%","±0.1"
"        With complete kitchen facilities","4,276,350","±15,607","99.5%","±0.1","2,860,241","±20,859","99.7%","±0.1","1,416,109","±17,985","99.0%","±0.2"
"    VEHICLES AVAILABLE","","","","","","","","","","","",""
"        No vehicle available","212,885","±7,121","5.0%","±0.2","65,659","±3,978","2.3%","±0.1","147,226","±6,794","10.3%","±0.5"
"        1 vehicle available","1,350,309","±18,533","31.4%","±0.4","668,775","±13,500","23.3%","±0.4","681,534","±14,785","47.6%","±0.9"
"        2 vehicles available","1,646,580","±21,383","38.3%","±0.5","1,207,874","±18,744","42.1%","±0.5","438,706","±12,074","30.7%","±0.7"
"        3 or more vehicles available","1,089,492","±16,281","25.3%","±0.4","926,159","±13,258","32.3%","±0.5","163,333","±7,327","11.4%","±0.5"
"    TELEPHONE SERVICE AVAILABLE","","","","","","","","","","","",""
"        With telephone service","4,262,552","±15,152","99.1%","±0.1","2,848,799","±20,805","99.3%","±0.1","1,413,753","±18,100","98.8%","±0.2"
"    HOUSE HEATING FUEL","","","","","","","","","","","",""
"        Utility gas","1,044,509","±15,324","24.3%","±0.3","823,947","±14,016","28.7%","±0.4","220,562","±8,340","15.4%","±0.6"
"        Bottled, tank, or LP gas","257,017","±8,694","6.0%","±0.2","209,519","±7,420","7.3%","±0.3","47,498","±4,268","3.3%","±0.3"
"        Electricity","2,825,810","±19,433","65.7%","±0.4","1,706,310","±19,645","59.5%","±0.5","1,119,500","±17,791","78.2%","±0.7"
"        Fuel oil, kerosene, etc.","88,418","±4,512","2.1%","±0.1","68,773","±4,161","2.4%","±0.1","19,645","±2,442","1.4%","±0.2"
"        Coal or coke","702","±483","0.0%","±0.1","53","±79","0.0%","±0.1","649","±472","0.0%","±0.1"
"        All other fuels","57,864","±3,777","1.3%","±0.1","47,917","±3,709","1.7%","±0.1","9,947","±1,996","0.7%","±0.1"
"        No fuel used","24,946","±2,728","0.6%","±0.1","11,948","±1,632","0.4%","±0.1","12,998","±2,058","0.9%","±0.1"